match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,r_carry,r_disabler,r_durable,r_escape,r_initiator,r_jungler,r_nuker,r_pusher,r_support,d_carry,d_disabler,d_durable,d_escape,d_initiator,d_jungler,d_nuker,d_pusher,d_support
7406103719,6234331720,False,1698598258,1933,2539.0,1.0,7,22,43,6,184,"[74, 121, 99, 42, 40]","[14, 35, 67, 137, 91]",3,4,2,2,3,0,4,2,3,2,2,3,2,2,0,3,0,1
7406103512,6234333300,False,1698598258,2012,,,7,22,43,4,183,"[62, 44, 71, 91, 85]","[113, 93, 121, 16, 86]",2,2,2,4,1,0,3,0,2,2,4,0,4,1,0,5,0,3
7406103203,6234330362,False,1698598243,1870,,,0,22,42,5,154,"[99, 59, 18, 84, 71]","[79, 97, 75, 81, 85]",4,3,5,1,5,0,3,0,1,2,5,2,1,4,0,4,1,3
7406103117,6234332180,False,1698598244,1971,,,7,22,53,4,227,"[63, 53, 69, 44, 100]","[11, 27, 105, 67, 137]",4,2,1,3,2,0,3,1,0,2,3,2,1,2,0,3,1,1
7406103111,6234329024,False,1698598243,1790,,,7,22,41,5,273,"[96, 50, 51, 64, 138]","[93, 104, 75, 37, 17]",1,5,2,1,2,0,5,1,2,4,5,1,2,4,0,4,0,2
7406103108,6234331571,False,1698598242,1939,,,7,22,61,5,185,"[81, 36, 31, 83, 114]","[12, 14, 3, 46, 29]",3,4,3,2,3,0,2,1,2,3,3,3,2,2,0,4,1,1
7406103107,6234334057,True,1698598238,2043,,,7,22,45,2,152,"[20, 2, 30, 126, 67]","[104, 94, 66, 25, 26]",3,4,2,3,2,0,3,0,2,3,4,2,0,2,0,3,1,3
7406103007,6234325444,True,1698598233,1637,2355.0,1.0,7,22,41,4,152,"[26, 95, 84, 42, 76]","[8, 137, 21, 96, 53]",3,5,3,0,3,0,3,1,3,3,3,2,4,2,0,3,2,1
7406102905,6234319213,True,1698598224,1438,4305.0,1.0,7,22,44,2,381,"[84, 26, 11, 87, 21]","[86, 67, 8, 25, 47]",2,4,1,1,3,0,5,0,4,4,3,2,2,1,0,2,1,2
7406102813,6234323096,True,1698598233,1533,,,7,22,63,3,154,"[27, 83, 10, 36, 39]","[54, 84, 126, 19, 91]",3,4,3,3,2,0,4,1,2,3,4,3,3,2,0,4,1,2
