match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,r_carry,r_disabler,r_durable,r_escape,r_initiator,r_jungler,r_nuker,r_pusher,r_support,d_carry,d_disabler,d_durable,d_escape,d_initiator,d_jungler,d_nuker,d_pusher,d_support
7406066212,6234321318,False,1698596973,2640,4624.0,2.0,7,22,71,5,273,"[25, 22, 63, 5, 2]","[71, 11, 50, 67, 121]",4,3,1,1,1,0,3,0,2,3,3,2,3,1,0,3,0,2
7406066203,6234312173,True,1698596959,2429,3565.0,4.0,7,22,72,6,191,"[81, 138, 14, 34, 135]","[22, 1, 25, 72, 97]",4,3,3,0,2,0,3,2,0,4,3,0,2,1,0,5,0,1
7406065801,6234296897,False,1698596948,1869,3982.0,4.0,7,22,81,5,181,"[126, 81, 14, 138, 71]","[86, 123, 93, 92, 23]",4,5,3,2,3,0,3,1,0,2,5,2,2,1,0,5,1,4
7406065209,6234333676,False,1698596939,3330,2518.0,2.0,7,22,72,4,274,"[121, 97, 53, 54, 14]","[75, 138, 23, 30, 63]",2,4,2,4,2,0,4,1,1,4,4,1,1,2,0,4,0,3
7406065119,6234320461,True,1698596939,2768,1529.0,1.0,7,22,71,4,181,"[107, 32, 93, 45, 74]","[22, 81, 101, 20, 8]",3,4,1,4,1,0,4,2,0,3,3,1,2,2,0,3,2,2
7406065107,6234292943,True,1698596937,1714,4934.0,4.0,7,22,81,5,153,"[22, 81, 121, 102, 6]","[14, 90, 69, 30, 42]",4,3,2,1,1,0,2,2,2,2,5,3,0,3,0,4,0,3
7406065005,6234292809,True,1698596932,1689,4383.0,1.0,7,22,73,4,272,"[41, 128, 71, 29, 121]","[27, 138, 73, 97, 36]",3,5,3,4,3,0,3,0,2,3,5,2,1,3,0,5,1,2
7406139109,6234338341,True,1698599609,839,4361.0,4.0,7,22,81,6,272,"[99, 71, 12, 87, 45]","[54, 23, 37, 53, 137]",3,2,2,2,3,0,4,2,1,3,4,3,2,3,0,2,1,2
7406127904,6234337415,True,1698599168,1201,4586.0,2.0,7,22,81,5,182,"[14, 48, 72, 92, 104]","[121, 138, 7, 36, 42]",3,4,3,0,2,0,5,2,1,3,5,2,1,2,0,4,0,3
7406124902,6234336785,True,1698599053,1276,5288.0,2.0,7,22,81,2,272,"[84, 2, 67, 56, 102]","[42, 83, 96, 50, 63]",4,2,4,2,2,0,1,1,2,2,4,3,3,3,0,2,0,3
